title,company,rating,place,job_type,salary,timestamp,qualifications,description,logo_url,url
Senior Frontend Developer,Gaming Innovation Group,3.8 out of 5 stars,"Malta, MT",Full-time,Estimated: $90K - $113K a year,,"['Management', 'Node.js', 'CSS', 'Vuex', 'React', 'RESTful API', '5 years', 'Jest', 'Git', 'Responsive web design', 'Flux', 'JavaScript', 'Sass', 'REST', 'Redux', 'GraphQL', 'Senior level', 'TypeScript', 'HTML', 'Mobile design']","Description
We are seeking an experienced Senior Frontend Developer with expertise in NuxtJS or React to join our frontend sportsbook development team. As a Senior Frontend Developer, you will play a crucial role in building and maintaining high-quality web applications. You will collaborate with designers, product managers, and backend developers to deliver scalable, high-performance solutions.
Key Responsibilities


Design, develop, and maintain frontend applications using NuxtJS or React.
Collaborate with cross-functional teams to translate requirements and user stories into well-structured and maintainable code.
Lead the development of complex user interfaces and contribute to architecture decisions.
Optimize web applications for maximum speed and scalability.
Implement and maintain responsive designs and cross-browser compatibility.
Write clean, efficient, and reusable code with a focus on modularity and maintainability.
Ensure the technical feasibility of UI/UX designs.
Participate in code reviews and mentor junior developers.
Stay up-to-date with emerging frontend technologies and best practices.
Troubleshoot, debug, and resolve issues in the production environment.
Develop and maintain tests
Skills, Knowledge and Expertise


5+ years of experience in frontend development with a focus on NuxtJS or React.
Strong knowledge of JavaScript, TypeScript, HTML5, and CSS3.
Experience with modern frontend tools and libraries (e.g., Vuex, React Redux, Sass, Webpack, Babel).
Strong understanding of REST APIs and GraphQL for integrating frontend with backend services.
Strong understanding of NodeJS and Socket or SSE
Familiarity with state management and architectural patterns like MVVM, Flux, or Redux.
Expertise in responsive design and mobile-first development.
Understanding of web performance optimization techniques.
Experience with version control systems like Git.
Solid understanding of testing frameworks (e.g., Jest, Cypress, Mocha).
Proven track record of delivering complex projects in a fast-paced environment.
Strong problem-solving skills and attention to detail.
Benefits


Exciting career growth prospects
Flexible hybrid or remote work options
Global Health Insurance coverage
Comprehensive Health and Wellness Package (350 EUR annually)
Special Day Off to celebrate your Birthday
Personal Me Time day off each year
About Gaming Innovation Group
We are an award-winning iGaming platform and sportsbook provider supplying industry-leading solutions to our partners and their players. We specialise in helping online and land-based operators expand their iGaming and sports betting business on a global scale, focusing on innovation and customisation to power localised customer experiences and intimate user journeys. As a regulated markets specialist, we offer compliant entry into 36+ complex regulated markets around the world.

Our powerful iGaming platform is built to be scalable, open and user-centric, rapidly integrating with our partners' existing tech and preferred third parties. It provides a personalised user experience through our suite of real-time marketing tools, real-time data, and real-time rules engine, allowing our partners to build their own automated bespoke rules, without the need for coding knowledge.

Our sportsbook is built mobile-first and provides a premium player experience through our Bet builder, comprehensive Live betting capabilities and Player props. Our partners benefit from tailored odds, personalised margins, and risk management strategy, increasing the players’ personalised experience. Our partners benefit from an in-house trading team available 24/7 through direct communication channels, delivering unparalleled agility and service to all our partners, around the clock.",,https://www.simplyhired.com/job/FVG-HEuHCiWk5QNDtbTdOVowiGProKqw4XcetwO_MLzUmPOFQnIvmA
Comptroller - Back-end Web Applications Developer (Reopen),COMPTROLLER OF PUBLIC ACCOUNTS,3.6 out of 5 stars,"Austin, TX",Full-time,"$9,000.00 - $9,583.33 a month",13 days ago,"['Spring Boot', 'Oracle', 'Computer Science', 'Management Information Systems', 'RESTful API', 'DB2', 'Relational databases', 'Military', 'Writing skills', 'Microsoft SQL Server', 'Mid-level', 'Java', 'Databases', 'Microservices', ""Bachelor's degree"", 'Back-end development', 'Scrum', 'Computer Information Systems', 'APIs', 'Agile', 'Web services', 'Unit testing', '1 year', 'Service-oriented architecture', 'SSIS', 'Communication skills', 'Spring Framework']","Comptroller - Back-end Web Applications Developer (Reopen) (00050923)

Organization: COMPTROLLER OF PUBLIC ACCOUNTS

Primary Location: Texas-Austin

Work Locations: Lyndon B Johnson Building (304-00001) 111 E 17th Street Austin 78774

Job: Computer and Mathematical

Employee Status: Regular

Schedule: Full-time

Standard Hours Per Week: 40.00

Travel: Yes, 5 % of the Time

State Job Code: 0245

Salary Admin Plan: B

Grade: 28

Salary (Pay Basis): 9,000.00 - 9,583.33 (Monthly)

Number of Openings: 1

Overtime Status: Exempt

Job Posting: Jul 1, 2025, 3:16:49 PM

Closing Date: Jul 15, 2025, 11:59:00 PM

Description
Applications must be filed at: https://capps.taleo.net/careersection/ex/jobdetail.ftl?job=00050923

If you have previously applied, there is no need to reapply. Your application is still being considered for this position.

Please note that this job posting can be closed without notice and earlier than the closing date indicated in the posting if a suitable candidate is found. We encourage applicants to submit and complete the application promptly.


Are you ready to grow, make a positive impact? If you are seeking to gain knowledge, build your career, and network among goal-oriented professionals, this is the place for you!

Innovation, collaboration, and a commitment to excellence best describes the culture here at the Comptroller’s Office. We take pride in the work we do serving as Texas' accountant, tax collector, treasurer, and much more! The Comptroller’s office serves virtually every citizen in the state. As Texas’ chief tax collector, accountant, revenue estimator, treasurer and purchasing manager, the agency is responsible for writing the checks and keeping the books for the multi-billion-dollar business of state government.

Our agency workforce is as diverse as the people of Texas we serve. We value our employees and take very seriously our collective commitment to public service. Personal development opportunities are strongly encouraged through available workshops, teambuilding exercises, and on the job training. We offer flexible scheduling that helps employees maintain a healthy work-life balance.

Click here to see an inside look at the Texas Comptroller’s office!

ABOUT THE Division

General description

The Web Applications Tax and Reporting development team is a dynamic workforce that builds world-class tax solutions. We are looking for a Back-End Web Applications Developer to join us on a dedicated team crafting visually stunning and seamlessly functional web applications for our application portfolio. You’ll be responsible for driving robust, scalable technical solutions across multiple technologies while interfacing with Product Owners, Scrum Masters, and QA to ensure the best possible user experience. On a day-to-day basis you will be designing and implementing code, unit tests, writing full documentation and adhering to defined standards and best practices. You’ll also attend and assist with design and code reviews to ensure code quality and participate in debugging sessions to resolve issues. Your problem-solving skills will be tested as you help triage problems, troubleshoot issues, debug existing code, and correct defects that fall outside of regular release cycles. If you are self-motivated, enjoy working in a fast-paced team-oriented environment, strive for top quality results, and are exceptional at attention to details, we want you to help shape our digital landscape. You must have extensive knowledge on stateless web applications and associated security controls, possess excellent communication skills, exhibit sound judgement, and maintain and code to development standards.

Work Hours

Work Hours are 8:00AM to 5:00PM, 40-hour week, Monday – Friday. Occasionally work additional hours on evenings, weekends, and/or holidays, including working on-call 24 hours a day during a rotation. Hours may change based on business need.

Teleworking may be considered if certain working conditions are met. The candidate must have permanent residency within the state of Texas and must be able to meet in office requirements, which can vary among different sections (i.e. report to office 1 day/month, 3 days/week, etc.). Travel reimbursements are not provided for teleworking.

Qualifications
Minimum Qualifications
Bachelor's degree.Five (5) years of experience with the design and coding of back-end application services using Java, which at least three (3) years must have been utilizing the Spring Boot framework.Five (5) years of experience working in a microservices environment developing RESTful API endpoints.Four (4) year of experience writing Unit and E2E tests to ensure 100% test coverage.Two (2) years’ experience working in Agile Scrum teams.Experience with relational database design and modeling with SQL Server and/or Oracle.

Preferred Qualifications
Bachelor's degree in Computer Science, Computer Information Systems, or Management Information Systems.Six (6) years of experience with the Spring Boot framework and Java 1.8+ implementing highly scalable, high throughput web services and backend systems in a large-scale Enterprise environment.An understanding of Service-Oriented Architecture and microservices.One (1) years’ experience developing MuleSoft based RESTful APIs.Experience writing stored procedures and SSIS packages.Experience with DB2 databases.

Substitution

One (1) additional year of experience in design and coding as stated above may substitute for (30) thirty semester hours of educational requirement with a maximum substitution of 120 semester hours (four years).

In this role you will:
Performs back-end and API coding tasks in Spring Boot, Java, and related technologies based on business requirements and design in a distributed development environment; designs and codes applications adhering to established architecture, design & coding standards.Analyzes, researches, and interprets business requirements to develop technical specifications.Oversees and/or performs unit testing and integration testing of applicable changes based on requirements, including implementation and environment preparation, documentation, coordination, and monitoring.Mentors other developers regarding hardware, software, and the use of advanced technical solutions and tools.Documents current or proposed software applications; participates in status, training, requirements, design, and review sessions; and creates written proposals for improvement in the tools & technologies in the defined architecture.Performs all other related duties as assigned, including responding to problems in an on-call situation 24 hours a day during a rotation.

Maximize Your Earnings!

At the Comptroller's office, we know potential employees are looking for more than just a paycheck. The agency offers a strong benefits package for you and your family. Insurance, retirement plans, and a flexible work schedule are just the start. See our benefits offering

If you are seeking to gain knowledge, build your career, and network among goal-oriented professionals, this is the place for you!

Important Note to the Candidate:

Salary is contingent upon qualifications. If you are scheduled for an interview and require any reasonable accommodation in our interview process, please inform the hiring representative who calls you to schedule your interview. Whenever possible, please give the hiring representative sufficient time to consider and respond to your request.


MILITARY PREFERENCE

To receive MILITARY PREFERENCE, you are required to provide proof by attaching the necessary documentation to this job application.


https://hr.sao.texas.gov/CompensationSystem/JobDescriptions
Click on the occupational category for the position.

Additional MOS can be found at the State Auditor’s Office,

Military Crosswalk Guide.


The Texas Veterans Commission provides helpful employment information. Go to: http://www.texasskillstowork.com, http://www.onetonline.org, https://hr.sao.texas.gov/CompensationSystem/JobDescriptions/ or www.careeronestop.org for assistance translating your military experience and training courses into civilian job terms, qualifications/requirements and skill sets.


Applications submitted through Work in Texas:

Work In Texas (WIT) applicants must complete supplemental questions to be considered for the position. To complete the supplemental questions please go to CAPPS Recruit to register or login and access your profile.

The Comptroller’s Office is proud to be an equal opportunity workplace. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity.

Resumes will not be accepted in lieu of completed applications. The application must contain the necessary information in the work history for the applicant to qualify for the position.

An applicant must be eligible to work in the United States to be hired at the Comptroller's office and must remain eligible, without sponsorship or any assurance of financial or other assistance from this agency, during the term of their employment.",https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/128x128/4195ec7a1e1f948d6f81bac5f163b54b,https://www.simplyhired.com/job/Fg1QPb2YiAcWuogtSvIAbH2KUgYGCUa-vxf1dWF20ukp1D8jFUWRMg
"Software Engineer, Frontend",OpenAI,4.5 out of 5 stars,"Seattle, WA",Full-time,"$255,000 - $405,000 a year",,"['React', 'Mid-level', '4 years', 'TypeScript']","About the Team

The ChatGPT for Work team works across research, engineering, product, and design to bring OpenAI’s technology to consumers and businesses.

We seek to learn from deployment and distribute the benefits of AI, while ensuring that this powerful tool is used responsibly and safely.

About the Role

We are looking for an experienced frontend engineer to join our Applied Engineering teams. You’ll work in a deeply iterative, collaborative, fast-paced environment to bring our technology to millions of users around the world, and ensure it’s delivered with safety and reliability in mind. We value engineers who are self-starters, care deeply about the end user experience, and take pride in building products to solve customer needs.

You will help build and deploy our ChatGPT for Work product. We shipped ChatGPT for Work in August last year, and we’re humbled and excited by the reception – a recent study found that ChatGPT can drive up to 30% more productivity in knowledge work.

In this role, you will:
Partner closely with research, product, and design to bring new features and research capabilities to the world

Design and build efficient and reusable front-end systems that drive complex web applications

Plan and deploy front end infrastructure necessary to build, test, and deploy our products

You might thrive in this role if you:
Have at least 4 years of experience building production web apps at scale using TypeScript, React, and other web technologies.

Are comfortable building complex applications and systems from the ground up, with limited development infrastructure available to you.

Have a voracious and intrinsic desire to learn and fill in missing skills. An equally strong talent for sharing that information clearly and concisely with others.

Are comfortable with ambiguity and rapidly changing conditions. You view changes as an opportunity to add structure and order when necessary.

.

About OpenAI

OpenAI is an AI research and deployment company dedicated to ensuring that general-purpose artificial intelligence benefits all of humanity. We push the boundaries of the capabilities of AI systems and seek to safely deploy them to the world through our products. AI is an extremely powerful tool that must be created with safety and human needs at its core, and to achieve our mission, we must encompass and value the many different perspectives, voices, and experiences that form the full spectrum of humanity.

We are an equal opportunity employer, and we do not discriminate on the basis of race, religion, color, national origin, sex, sexual orientation, age, veteran status, disability, genetic information, or other applicable legally protected characteristic.

For additional information, please see

OpenAI’s Affirmative Action and Equal Employment Opportunity Policy Statement

.

Qualified applicants with arrest or conviction records will be considered for employment in accordance with applicable law, including the San Francisco Fair Chance Ordinance, the Los Angeles County Fair Chance Ordinance for Employers, and the California Fair Chance Act. For unincorporated Los Angeles County workers: we reasonably believe that criminal history may have a direct, adverse and negative relationship with the following job duties, potentially resulting in the withdrawal of a conditional offer of employment: protect computer hardware entrusted to you from theft, loss or damage; return all computer hardware in your possession (including the data contained therein) upon termination of employment or end of assignment; and maintain the confidentiality of proprietary, confidential, and non-public information. In addition, job duties require access to secure and protected information technology systems and related data security obligations.

We are committed to providing reasonable accommodations to applicants with disabilities.

OpenAI Global Applicant Privacy Policy

At OpenAI, we believe artificial intelligence has the potential to help people solve immense global challenges, and we want the upside of AI to be widely shared. Join us in shaping the future of technology.

Compensation

$255K – $405K + Offers Equity",https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/128x128/973fd1dfa2874c829d620db5d973bc25,https://www.simplyhired.com/job/LfOEa79iStE--s89FePdvO3cfGdv2P9UNKggGL6uAUcdJNS50HtS9Q
Python Bot to Web Dashboard Integration for Vehicle Mileage Tracking,Workana,4.4 out of 5 stars,United States,,$50 an hour,10 days ago,"['Node.js', 'CSS', 'Mid-level', 'Responsive web design', 'JavaScript', 'APIs', 'IT', 'Python', 'HTML']","About this project
We are seeking an experienced developer to integrate an existing Python bot with a new, mobile-responsive web dashboard. The core functionality of the Python bot, which accesses the Sinotrack website, logs in, navigates to vehicle details, and extracts total mileage using OCR, is already fully functional and running locally. The primary objective of this project is to build a web interface that allows users to trigger this bot and view its output.

Key functionalities required for the web dashboard include:
Backend integration: The Python bot must run in the background on a server when
Category IT & Programming
Subcategory Web development
What is the scope of the project? Medium-sized change
Delivery term: Not specified
Skills needed
Python Node.js JavaScript HTML CSS Responsive Web Design API Database",,https://www.simplyhired.com/job/m8Gv-gPSeJ5mOFSf95lgOQJBNzw1V5U5Ykp13T8fc2zMK-93Gvhm3A
Staff Front-End Engineer,Croutch & Associates,,United States,Full-time,"$155,000 - $215,000 a year",,"['7 years', '6 years', 'Trading', 'React', '5 years', '11+ years', '8 years', ""Bachelor's degree"", 'JavaScript', 'Next.js', '9 years', 'Senior level', '4 years', 'TypeScript', 'React Native', '10 years']","Staff Frontend Engineer (Full-Time, Confidential)We’re a stealth-mode consumer-crypto trading platform on a mission to redefine how people trade, discover, and engage with digital assets. You’ll own our Next.js web app and help build an experience users can’t live without.What You’ll DoSet the Vision– Define technical direction for our Next.js frontend– Partner with Product Design and Senior Frontend Engineer to drive best practicesBuild & Scale– Architect and ship performant, maintainable features in React/TypeScript– Maintain a monorepo that shares code with our React Native mobile appSolve Tough Problems– Tackle UI challenges around on-ramping, limit orders, DCAs, margin trading, and social feeds– Collaborate cross-functionally (Product, Design, Backend) for rapid iterationRaise the Bar– Lead code reviews, performance optimizations, and tooling improvements– Mentor teammates and foster a culture of craftsmanshipWhat You Bring5+ years of professional web-development experienceDeep expertise in Next.js, React, JavaScript/TypeScriptComfort with monorepo setups and shared codebases (web + mobile)A track record of shipping consumer-facing apps people loveStrong system-design sense for scalable, high-performance web UIsBonus: experience or passion for trading platforms / financial productsProven leadership—guiding technical decisions and elevating peersExcellent communication—clear, concise, proactiveWhy Join UsHigh-Visibility ImpactYour work shapes a flagship crypto-trading app in a rapidly growing market.Cutting-Edge ChallengesMove fast on complex features that blend DeFi, social trading, and real-time data.Equity & GrowthCompetitive salary with RSUs, plus opportunity to grow as we scale.What to ConsiderStartup PaceWe move quickly, adapt constantly, and expect you to thrive in ambiguity.Steep Learning CurveYou’ll own uncharted problems—if you crave a clear roadmap, this may not be the role for you.High AgencyWe tackle fires head-on. You’ll level up fast, but only if you embrace the heat.Job Type: Full-timePay: $155,000.00 - $215,000.00 per yearBenefits:401(k)Dental insuranceFlexible scheduleHealth insurancePaid time offVision insuranceCompensation Package:RSUYearly payWork Location: Remote",,https://www.simplyhired.com/job/hDk6J7QkiDgYzS4wN2ewrErYC-FsOAldarAnyk1Bjr15ReB8R5s9QQ
"Front End Developer, Lending",Galaxy Digital,2.5 out of 5 stars,"New York, NY",,"$160,000 - $190,000 a year",,"['6 years', 'React', 'Jest', 'JavaScript', 'Redux', 'UX', 'UI', 'Integration testing', 'Kafka', 'Unit testing', 'Senior level', 'AI']","Who We Are:
Galaxy is a global leader in digital assets and data center infrastructure, delivering solutions that accelerate progress in finance and artificial intelligence. We believe that blockchain and digital asset innovation will transform how value moves through the world – and we’re building the products and services to make that future a reality.

Our institutional digital assets platform spans trading, investment banking, asset management, staking, self-custody, and tokenization technology. We also invest in and operate cutting-edge data center infrastructure to power AI and high-performance computing, addressing the growing demand for scalable energy and compute in the U.S.

We work at the intersection of finance and technology, helping institutions, startups, and developers navigate a digitally native economy. Led by CEO and Founder Michael Novogratz, our team blends deep crypto expertise with institutional experience and a shared commitment to shaping the future of Web3 and AI.

Galaxy is headquartered in New York City, with offices across North America, Europe, the Middle East, and Asia.

To learn more about our businesses and products, visit www.galaxy.com.

What We Value:

We are a diverse team of free thinkers, and fast movers united to help investors and creators energize the global economy. We are looking for individuals who thrive in a culture of builders and overachievers and embrace high performance, transparent feedback, and a mission-first approach. Our culture shapes our way of working and gets us where we want to be.

Seek Excellence.
Be Selective To Be Effective.
Be Highly Aligned, Loosely Coupled.
Disagree Transparently.
Encourage Independent Decision-Making.
Build Dream Teams.

Who You Are:

We are looking for a driven individual with intimate knowledge of React and JavaScript to join the Lending Team. They will assist in the expansion of our Lending Architecture and will play a pivotal role by helping to implement/expand our various UIs. As part of the lending team, you will work closely with our business partners to create a seamless user experience. You will be responsible for maintaining the Lending UIs. Furthermore, you will help to develop and shape the UI/ UX experience for the entire firm by contributing to the growing suite of Front-End applications.

What You’ll Do:

Work on the expansion of our Lending Architecture
Help implement and expand UI
Coordinate between internal and client-facing applications

What We’re Looking For:

6+ years of relevant experience
Intimate knowledge of React and Redux
Experience with React Testing Library and Jest
Experience creating testable front-end components
Unit testing
Integration testing
Experience with Module Federation
Experience creating reusable/ extendable components
Experience developing micro frontends

Bonus Points:

Experience Integrating with Spring Security
Knowledge of Spring and Kafka
Knowledge of Crypto

What We Offer:

Competitive base salary and discretionary bonus
Competitive paid time off
Company-paid health and protective benefits for employees and their eligible dependents
Free virtual coaching sessions through Headspace
Free daily snacks in-office
Opportunities to learn about the Crypto industry
Smart, entrepreneurial, and fun colleagues

Benefits may vary depending on location.

Apply now and join us on our mission to engineer a new economic paradigm.
The base salary ranges included below will be commensurate with candidate experience, expertise and local market. Final offer amounts are determined by multiple factors, including candidate experience and expertise. At Galaxy, we maintain a total compensation philosophy which consists of a competitive base salary, annual bonus, and equity incentives.
Base Salary Range
$160,000 - $190,000 USD
Galaxy respects diversity and seeks to provide equal employment opportunities to all employees and job applicants for employment without regard to actual or perceived age, race, color, creed, religion, sex or gender (including pregnancy, childbirth, lactation and related medical conditions), gender identity or gender expression (including transgender status), sexual orientation, marital or partnership or caregiver status, ancestry, national origin, citizenship status, disability, military or veteran status, protected medical condition as defined by applicable state or local law, genetic information or predisposing genetic characteristic, or other characteristic protected by applicable federal, state, or local laws and ordinances.

We will endeavor to make a reasonable accommodation to the known limitations of a qualified applicant with a disability unless the accommodation would impose an undue hardship on the operation of our business. If you believe you require such assistance to complete the application process or to participate in an interview, please contact careers@galaxy.com.",,https://www.simplyhired.com/job/LegWNZ4hzCx3pNhxyNpXOllQuzHhkrBbS6pOptbgYJEOryRWVNmUaQ
Remotely Front-end developer senior view vacancy,Apicbase,5 out of 5 stars,Remote,Full-time,Estimated: $92K - $135K a year,,"['Vuex', 'RESTful API', 'Mid-level', '3 years', 'JavaScript', 'SCSS', 'Sass', 'Django', 'APIs', 'Vue.js', 'Figma', 'Python']","What are we looking for?
Apicbase is a Belgian fast-growing scale-up. We make software for the Food and Beverage industry. We are looking for a great Front End Developer who has a vision and a passion for ease of use and who is unstoppable in his urge to translate software into human patterns.
What will you be doing?
Develop and enhance the software powering apicbase.com using Vue.js.
Work closely with designers to transform Figma design files into intuitive and engaging user experiences.
Optimize and maintain the frontend codebase using Webpack, SCSS (SASS), and JavaScript best practices and performance.
Collaborate with the team in refining development processes and ensuring high code quality.
Participate in team meetings to discuss the future of our application and contribute to refactoring efforts.
Take ownership of various parts of our frontend ecosystem, ensuring smooth implementation, testing, and maintenance.
Stay on the lookout for new technologies and approaches to streamline our frontend development process.
More than 3 years of experience in frontend development.
Who are you?
We value open-minded individuals with a growth mindset over niche experts, but the following qualifications will help you hit the ground running:
Experience with Vue.js (Vue 3) and related technologies like Vuex, Vue Router, and others.
Proficiency in modern frontend development using JavaScript, Webpack, and SCSS (SASS).
Experience working with Figma or similar design tools to convert UI/UX designs into functional frontend components.
Python and/or Django experience is a nice-to-have but not mandatory.
Experience with API consumption, mainly RESTful API.
Strong problem-solving skills and a proactive approach to improving efficiency.
You take responsibility for delivering high-quality, functional, and scalable frontend solutions.
What do we offer?
A full-time and ultra-varied job at a well-funded, successful and fast-growing scale-up
Working in a company culture with ownership, self-responsibility and accountability
Being part of a young, flexible and dynamic team that builds together the future of Apicbase
The time to learn and master state-of-the-art technologies
Possibility to travel to technology and food events
An attractive and competitive salary",https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/128x128/03d8308d66f75ef4ec39e1bbd84e98be,https://www.simplyhired.com/job/T06Jz52Upa79F1s-GfKOrZaGrn1jLYX_sBLX1p5tR0nLm5HgRmxgyg
Lead React/Node Engineer with Micro Front End experience,Intone Networks,4.1 out of 5 stars,"Atlanta, GA",Contract,Estimated: $115K - $142K a year,,"['Node.js', 'React', 'Senior level']",Lead React/Node Engineer with Micro Front End experience,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/128x128/e49b869b922dbb240e92500077beef77,https://www.simplyhired.com/job/B8ua_0klWdaqfTXRai1Q5J2N8XmKqg2LxC9yQ3TKs0NWFbYuuZ5sbw
Junior Web Developer,The Driveshaft Shop,2.6 out of 5 stars,"Salisbury, NC",Full-time,"$60,000 a year",14 days ago,"['SEO experience (3-5 years)', 'WordPress', 'Mid-level', '3 years', ""Bachelor's degree"", 'SEO', 'Marketing']","The Driveshaft Shop is an industry leading creator and manufacturer of innovative drivetrain solutions. We are proud to have helped many racers set many world records. We are currently seeking a Web Developer to maintain our website under the direction of the Marketing Team.For 30+ years The Driveshaft Shop has been creating and manufacturing innovative drivetrain solutions for street and racing use. Let your talents and passions accelerate your career by joining our crew!Duties & Responsibilities:Update website to keep product descriptions accurate and products up to dateMake basic website improvementsMaintain website to stay in line with brand and marketing strategiesMonthly reporting on eCommerce Sales, User Activity, Sessions, and 3rd Party Ranking MetricsQualifications:4 Year Degree PreferredAt least 3 years of experienceMust work well with othersSEO experience preferredPositive attitudePassion to succeedIf this sounds like the challenging position you have been searching for, apply today and be sure to include a cover letter letting us know why you would be a good fit.Job Type: Full-timePay: $60,000.00 per yearBenefits:401(k)401(k) matchingDental insuranceHealth insurancePaid time offAbility to Commute:Salisbury, NC 28147 (Required)Work Location: In person",https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/128x128/38c852ee0bdb0fd929c58f3435a1342e,https://www.simplyhired.com/job/js9LLVqP5Hu3paBtGkd7VF2mrlTtwKedObOtWkOdbvwmEioO1f_Fag
Sr. Fullstack Developer (Front-end Focus),HomeSource Systems,3 out of 5 stars,"Marlton, NJ",Full-time,Estimated: $99.5K - $126K a year,,"['7 years', 'CSS', 'React', 'Full-stack development', 'Laravel', 'Git', 'Responsive web design', 'PHP', 'JavaScript', 'Back-end development', 'POS', 'Senior level', 'SaaS', 'TypeScript', 'Communication skills', 'HTML', 'MySQL']","Overview:

Job Title: Sr. Fullstack Developer – (Front-end focus)
Location: Marlton, NJ/Hybrid/Remote
About HomeSource Systems:
HomeSource Systems is a dynamic, fast-growing company at the forefront of digital innovation for retailers and manufacturers. For over a decade, we’ve empowered clients by transforming complex data into seamless, user-friendly cloud solutions. HomeSource Systems is a dynamic SaaS company providing a comprehensive Business Management Solution (CBMS) and Point-of-Sale (POS) system tailored for big-ticket retailers. Our platform helps businesses manage everything from inventory and sales to accounting and e-commerce. As we continue to expand, our commitment to delivering visually stunning, high-performing websites remains unwavering. Join a team where creativity, collaboration, and cutting-edge technology drive everything we do.
Job Summary:
Are you a passionate Senior Full-Stack Developer who thrives on crafting seamless and engaging user experiences? Join our innovative team and become a driving force behind the next generation of our robust platform. In this pivotal role, you’ll leverage your expertise in front-end technologies to design and develop intuitive, high-performance interfaces that delight users and set new standards for usability. You’ll collaborate with talented peers across the stack, shaping both the look and feel as well as the underlying architecture of our solutions. If you’re excited by the challenge of transforming complex requirements into elegant, scalable applications—and want your work to make a visible impact every day—we want to meet you!

Qualifications:
7+ years of experience in full-stack development, with a strong focus on front-end.
Strong proficiency in front-end technologies including React, CSS, TypeScript, and JavaScript.
Experience with responsive and adaptive design.
Solid understanding of web markup, including HTML5 and CSS3.
Experience with WebSockets for real-time communication.
Proficient understanding of cross-browser compatibility issues and ways to work around them.
Solid grasp of MySQL (e.g., understanding schema, writing queries, and comprehending data flow).
Excellent problem-solving skills and attention to detail.
Preferred Skills:

Good understanding of back-end technologies, including experience with Laravel and PHP.
Familiarity with SaaS products or POS systems.
Knowledge of version control systems, such as Git.

Responsibilities:
Develop and implement user-facing features using React, CSS, TypeScript, and JavaScript.
Ensure the technical feasibility of UI/UX designs.
Optimize applications for maximum speed and scalability.
Collaborate with back-end developers and UI/UX designers to improve usability.
Build reusable code and libraries for future use.
Stay up-to-date with emerging front-end technologies and best practices.
Identify and correct bottlenecks and fix bugs related to the front-end.
Help maintain code quality, organization, and automation.
Compensation at HomeSource
We are committed to providing competitive compensation for all roles at HomeSource. We carefully consider multiple factors when determining compensation, including your skills, experience, and location while balancing internal equity relative to peers at the company.
Where You’ll Work
You will experience the best of both worlds with our innovative hybrid work model. Imagine having the freedom to work from the comfort of your own home three days a week, while also enjoying the energy and camaraderie of our vibrant office environment for two days. It's the perfect fusion of flexibility and collaboration that empowers you to thrive.
For candidates outside of set radius, you will have the opportunity to work fully remote.
At the heart of our culture is a commitment to fostering an exceptional work-life balance. We believe that your personal well-being is as important as your professional growth. With our unique approach, you can seize control of your schedule, dedicating focused days to conquer tasks from home and immersing yourself in the team synergy at our office.
What We Offer:
Competitive salary and benefits package.
Flexible work environment with potential remote options.
Opportunities for professional growth and skill development.
A collaborative, creative, and inclusive team culture.
Equal Opportunity Statement:
HomeSource Systems is committed to providing equal employment opportunities to all applicants and employees. We prohibit discrimination and harassment of any kind and value diversity at every level of our organization.",https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/128x128/bd84dc5428cee9c6f4d3d80959969b0c,https://www.simplyhired.com/job/-qmgzo5FADE8GNQ3dIBliUU_1ZshRA7pXFysA-PcqgvoLsoctjB3dA
