title,company,rating,place,job_type,salary,timestamp,qualifications,description,logo_url,url
Senior Full Stack Software Engineer,Drivemode,,"Mountain View, CA",Full-time,"$162,000 - $223,000 a year",7 days ago,"['Kotlin', 'Azure', 'Rust (programming language)', 'React', 'Internet of Things', 'Google Cloud Platform', 'Japanese', '3 years', 'Java', 'AWS', 'C++', 'C', 'JavaScript', 'Scala', 'Senior level', 'Python']","Our Mission: Driving technology always feels old. Not by a little bit. We believe vehicles can be a thousand times smarter, safer, and more connected to the world around us, and our mission is to see it happen. In 2019, we joined forces with Honda as their first startup acquisition, and now we’re expanding our vision into building the future of electric vehicles (BEV) for millions of people around the world.
Why Drivemode: Drivemode is the new software and user experience division of Honda that is focused on digital experience for new electric vehicles. You will be joining an exciting startup environment that combines impactful work, competitive compensation, and excellent benefits. By becoming a part of our team, you'll contribute to our crucial mission of changing the way people engage with vehicles and help solving the world's environmental challenges. This presents an exceptional opportunity to be at the forefront of innovation and drive Honda's success in the EV market.
About the role: The Senior Full Stack Engineer is responsible for designing and delivering tools that support Drivemode and Honda engineers such as vehicle simulators. You will work closely with developers and quality assurance engineers. You might also engage directly with external teams to learn about existing corporate systems, experiment with them and participate in architecture and integration decisions.We’re looking for someone who has a strong sense of ownership of product features and quality, is enthusiastic about trying new technologies, and does not hesitate to do whatever it takes to get things done, even if outside your usual responsibility area.
What You Will Do
Design extensible, scalable, and observable simulation and development tools for Drivemode and other Honda departments
What We Are Looking For
5+ years using statically-typed languages such as Java/Kotlin/Scala, C/C++, or Rust to ship production code.
3+ years using JavaScript and React to develop and ship web applications.
A flexible attitude and entrepreneurial mindset. Be willing to engage outside of your usual responsibility area, learn new technologies and tackle challenges beyond backend development.
Nice to Have
Experience with a major cloud provider such as GCP, AWS, or Azure.
iOT development and testing experience.
Python proficiency.
Japanese fluency
$162,000 - $223,000 a year
This is the position's total compensation package including the company's bonus structure. This position also comes with full benefits. Actual compensation packages are based on a wide array of factors unique to each candidate, including but not limited to demonstrated skill set, years and depth of relevant experience, and some role-dependent factors. We welcome direct conversations with each candidate about compensation in all of our initial calls.
EEOC Statement
Drivemode is proud of a very diverse team with employees coming from 5 continents/20 countries as of today. Diversity in our workplace has played an important part in our success; we recognize each employee’s unique background, knowledge, experiences, ideas, and viewpoints which are all critical in developing a product that has the greatest impacts on drivers all over the world.
Drivemode provides equal opportunities to all employees and applicants for employment without regard",,https://www.simplyhired.com/job/OYjxr48vcPwJSySQHbE5mzHuN0z904kotk9iiNrpo7Rl1WD2R0wE1A
Full Stack Software Engineer - Multimodal,xAI,,"San Francisco, CA",,"$180,000 - $440,000 a year",,"['CI/CD', 'Rust (programming language)', 'React', 'Full-stack development', 'Senior level', 'gRPC', 'TypeScript', 'Communication skills', 'Python']","About xAI

xAI’s mission is to create AI systems that can accurately understand the universe and aid humanity in its pursuit of knowledge. Our team is small, highly motivated, and focused on engineering excellence. This organization is for individuals who appreciate challenging themselves and thrive on curiosity. We operate with a flat organizational structure. All employees are expected to be hands-on and to contribute directly to the company’s mission. Leadership is given to those who show initiative and consistently deliver excellence. Work ethic and strong prioritization skills are important. All engineers and researchers are expected to have strong communication skills. They should be able to concisely and accurately share knowledge with their teammates.
About the Role

The multimodal team at xAI creates magical AI experiences beyond text, enabling understanding and generation of content across various modalities, including images, video, and audio.

To accomplish this, we are looking for expert full-stack developers to join our team to improve our research tooling and advance our research. Key responsibilities of the role include prototyping and supporting research applications that we use internally for developing and testing new capabilities and research ideas.

Focus
Building user-friendly and performant data management and visualization interfaces.
Building research demos to explore the frontier of multimodal AI products, and iterate quickly based on real-world feedback.
Owning end-to-end experience of the created application, and working within teams and cross functions to improve the experience.
Location

The role is based in the Bay Area [San Francisco and Palo Alto]. Candidates are expected to be located near the Bay Area or open to relocation.

Ideal Experience
Expert full-stack developer.
Experienced in standard software engineering best practices (CI/CD) and care about code quality, testing, and performance.
Familiar with real-time applications, and how multimodal foundational models work.
Tech Stack
Python
TypeScript, React
Rust
gRPC
Interview Process

After submitting your application, the team reviews your CV and statement of exceptional work. If your application passes this stage, you will be invited to a 15 minute interview (“phone interview”) during which a member of our team will ask some basic questions. If you clear the initial phone interview, you will enter the main process, which consists of four technical interviews.

Every application is reviewed by a member of our technical team. All interviews will be conducted via Google Meet.

Benefits

Base salary is just one part of our total rewards package at xAI, which also includes equity, comprehensive medical, vision, and dental coverage, access to a 401(k) retirement plan, short & long-term disability insurance, life insurance, and various other discounts and perks.

Annual Salary Range

$180,000 - $440,000 USD
xAI is an equal opportunity employer.",,https://www.simplyhired.com/job/yczLQmzwqnEKsZXEp5Fv7fF644y5pRUHnR6iNmxhAIP2rbITYIK_1g
Full Stack Developer (2024-0197),Acclaim Technical Services,4.3 out of 5 stars,"Herndon, VA",Full-time,Estimated: $125K - $185K a year,,"['Computer science', 'RESTful API', 'Electrical engineering', 'Java', 'Microservices', 'AWS', ""Bachelor's degree"", 'REST', 'Computer Engineering', 'S3', 'Web services', 'TS/SCI with Polygraph', 'Senior level']","Acclaim Technical Services, founded in 2000, is a leading language, operations, and technology services company supporting a wide range of U.S. Federal agencies. We are an Employee Stock Ownership Plan (ESOP) company, which is uncommon within our business sector. We see this as a significant strength, and it shows: ATS is consistently ranked as a top workplace among DC area firms and continues to grow.

We are actively hiring a Full Stack Developer with TS/SCI clearance and polygraph to join our Mission Technology and Solutions Business Unit, working in Mclean, VA.

Work with a team of systems engineers and software developers to specify, design, develop, test and deploy the end-state system. Development will take place in an iterative fashion using scrum techniques with inputs from multiple stakeholders. The work will be done in a dynamic stakeholder environment within AWS. Communicate with team leads and senior leadership and rapidly adjust direction in support of new and/or changing requirements. This effort will include a variety of activities, including:
Work with a team of systems engineers and software developers to specify, design, develop, test and deploy the end-state system. Development will take place in an iterative fashion using scrum techniques with inputs from multiple stakeholders. The work will be done in a dynamic stakeholder environment within AWS. Communicate with team leads and senior leadership and rapidly adjust direction in support of new and/or changing requirements. This effort will include a variety of activities, including:
Design, implement and maintain JAVA Microservices
Integrate data from one system to another via REST API
Become an expert on an AWS data workflow that includes Lambda, S3, and other such technologies
Ingest and normalize data from multiple data sources
Develop technical documentation and briefing materials to support program status reviews, control gates, and other presentations as directed by program management
Working with other enterprise service programs to leverage their capabilities via web services integration
Coordinate and/or participate in system integration and/or user acceptance testing
Write unit and integration test
Monitor applications in production
Participate in code reviews
EDUCATION/EXPERIENCE:
Bachelors (Computer engineering, Computer Science, Electrical Engineering, Information systems, Information Technology, Cybersecurity, or a closely related discipline); Required Experience: 6+ yrs

Technical skills: Understanding of JAVA Microservices; Understanding of REST API; Understanding of AWS data workflow that includes Lambda, S3, and other such technologies

Current TS/SCI with Poly is required.
Equal Employment Opportunity / Affirmative Action
ATS is committed to a program of equal employment opportunity without regard to race, color, ethnicity, national origin, ancestry, citizenship, sex, pregnancy, marital status, sexual orientation, age, religion/creed, hairstyles and hair textures, handicap/disability, genetic information/history, military/veteran status, or any other characteristic or condition protected by applicable law. We support the employment and advancement in employment of individuals with disabilities and of protected veterans, and we treat qualified individuals without discrimination on the basis of their physical or mental disability or veteran status.
d3Tp2TygIR",https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/128x128/7977175a343283c913700c64be0d9bbd,https://www.simplyhired.com/job/5jHl54qnVvI638oxlUxtbxPKpKfLjZQcTMiqVBLjInkP1NxrBdq2GA
Full-Stack Blockchain Engineer,Superduper,,United States,Full-time,Estimated: $134K - $170K a year,12 days ago,"['Go', 'Management', 'CSS', 'Trading', 'React', 'Kubernetes', 'Full-stack development', '5 years', 'Git', 'Google Cloud Platform', 'Microservices', 'AWS', 'Docker', 'JavaScript', 'Distributed systems', 'Terraform', 'Usability', 'REST', 'Contracts', 'APIs', 'GraphQL', 'HTTPS', 'Senior level', 'gRPC', 'TypeScript', 'HTML']","Who We Are
We are a cutting-edge DeFi automation and social trading platform revolutionizing how users, builders, and protocols interact with crypto. By combining seamless automation, gamification, and social engagement, we empower traders to discover, execute, and share innovative trading strategies across multiple chains. With a focus on user-driven growth and simplified blockchain workflows, we are building the future of decentralized finance—where trading is smarter, faster, and more connected. Join us in shaping the next generation of crypto innovation.
The Role
As a Full-Stack Engineer, you will play a key role in shaping and building an innovative user experience for the future of decentralised finance. We are looking for a skilled developer who is passionate about automating and abstracting away the complexities of on-chain swaps and liquidity management to provide a seamless trading experience for end users and drive business growth in the DeFi space.
This role offers a unique opportunity to collaborate with a high-performance team in developing a cutting-edge product that will redefine the DeFi ecosystem and advance our mission to transform the industry. You will be joining a stealth-mode initiative supported by a well-funded company, allowing you to innovate in a fast-paced, dynamic environment with the resources and support needed to push the boundaries of technology. Your work will directly contribute to creating a product that will have a profound impact on the world of DeFi, underpinned by the financial strength and strategic direction of our organisation.
Key Responsibilities
Building, testing and supporting full stack applications - utilising blockchain technology.
Placing the customer first and solving key UI/UX challenges for both the crypto-curious and crypto-native user.
Stay up to date with the latest trends and technologies in DeFi, blockchain, and backend development to continuously improve the product.
Work closely with backend developers to ensure seamless interaction between the frontend and APIs or blockchain nodes for real-time data display.
Contribute to the continuous improvement of development processes and workflows.
Conduct thorough code reviews, share best practices, and mentor junior team members.
Ensure security best practices are followed, particularly concerning user data and blockchain interactions.
Collaborate with cross-functional teams (design, marketing, product) to deliver new features and improvements according to the product roadmap.
Write clean, maintainable, and efficient code
Conduct regular testing, debugging, and troubleshooting to enhance the performance and usability of the platform.
Knowledge & Experience
Must have 5+ years of experience in a similar role and level.
Expert in Typescript with either some experience in Go or a strong desire to learn.
Deep familiarity with React (incl. React Router) for building SPAs, SSR, or other rendering strategies.
Prior Experience designing and developing trading platforms especially AMM-style DEXes.
Experience developing complex microservice based distributed systems.
Experience architecting and implementing mobile first, responsive, real-time front-ends (WebSockets, Server-Sent Events, GraphQL subscriptions, etc.).
Solid understanding of HTTP/HTTPS and REST-style APIs.
Working knowledge of gRPC and GraphQL (queries, mutations, subscriptions).
Experience with version control systems (e.g., Git) in a production setting.
Experience with Docker and Kubernetes (or equivalent) for packaging and running microservices in a production environment.
Experience with styling frontend UIs using HTML, CSS, and frameworks like Tailwind, preferably following a style guide.
Ideal Candidate Profile
A creative problem-solver who is eager to innovate and push boundaries in the DeFi space.
Possesses a deep understanding of web technologies and a strong grasp of blockchain fundamentals, particularly within DeFi.
Thrives in scrappy start-up environments, seeing ambiguity as an opportunity rather than an obstacle.
Comfortable taking ownership of complex problems and transforming them into user-friendly solutions.
Excels in collaboration, building trust and rapport with both technical and non-technical stakeholders.
Adept at communicating complex concepts clearly and concisely.
Relentless in delivering high-quality products, even under pressure.
Understands that speed and agility are key competitive advantages and drives urgency and efficiency without compromising quality.
Passionate about DeFi, with a commitment to continuous learning and staying at the forefront of this dynamic field.
Nice to Haves
Experience developing and deploying Solana Smart Contracts with Achor.
Experience developing EVM Smart Contracts using Solidity and popular toolchains (Foundry or Hardhat).
Experience with GraphQL schema design and sub-second subscription handling and/or gRPC-Web for low-latency data flows.
Experience with wallet connectors (MetaMask, WalletConnect, Coinbase Wallet, etc.).
Experience integrating on-chain data via web3 libraries (wagmi, ethers.js, viem, etc.).
Familiarity with cloud platforms (AWS, GCP) and infrastructure-as-code using IaC tooling such as Pulumi or Terraform.",,https://www.simplyhired.com/job/BjErsaKVrTmwJI9OTc75rLr1yG2cz3LhWVbnF-f0N2F-yLKCKd_pnA
Java Fullstack-Showcase,BayOne,3.8 out of 5 stars,California,,Estimated: $112K - $155K a year,,"['Node.js', 'React', 'RESTful API', 'Full-stack development', 'NoSQL', 'Google Cloud Platform', 'MongoDB', 'Mid-level', 'Java', 'Databases', 'AWS', ""Bachelor's degree"", 'Angular', 'APIs', 'Agile', 'Vue.js']","Seeking a skilled Full Stack Developer proficient in React, Vue, and Angular. Experience with NoSQL databases, API development, and Cloud platforms (GCP/AWS) required. Responsible for end-to-end web app development, frontend to backend.

Responsibilities:

Develop responsive UIs with React, Vue, and Angular.
Design and implement backend services using Node.js.
Manage NoSQL databases for performance and scalability.
Create RESTful APIs for system integration.
Collaborate with teams for feature development.
Ensure clean, efficient, and secure code.
Deploy apps on GCP/AWS.

Requirements:

Bachelor's degree or equivalent.
Strong React, Vue, and Angular skills.
Proficiency in Node.js for backend.
Experience with NoSQL databases (MongoDB, etc.).
Knowledge of RESTful API development.
Familiarity with GCP/AWS deployments.
Agile development experience.",https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/128x128/46fab688f1c649df8151425905d08862,https://www.simplyhired.com/job/nXe3sEGkB4l329myNEEC96FUpTkUoU4YRN_JeSvSWog81OZUlirCfQ
Senior Full Stack Engineer (Nodejs + React),Newfire Global Partners,4 out of 5 stars,Remote,Full-time,Estimated: $144K - $180K a year,15 hours ago,"['Node.js', 'React', 'Full-stack development', '5 years', 'Jest', 'PHP', 'Distributed systems', 'Product management', 'Software development', 'Agile', 'Unit testing', 'Senior level', 'AI', 'Debugging']","Description
Newfire Global Partners is a leading technology firm that specializes in building transformative software solutions for some of the world’s most innovative companies. With a presence across four continents, Newfire Global brings deep expertise in digital healthcare, AI-driven analytics, and enterprise technology. The firm’s track record of delivering scalable, high-impact solutions has made it a trusted partner for organizations seeking to drive meaningful change through technology.
We are passionate about the purpose-driven mission to help improve the quality of care for patients and are building a collaborative, innovative, and inclusive culture. We are a fully funded company founded by serial entrepreneurs with a stable client base.

Opportunity for impact
Newfire Global Partners, a leader in developing disruptive healthcare technology, collaborates with Fortune 500 companies and start-ups to drive transformation.

Newfire is seeking a Senior Full Stack Engineer


What's the Project?
Our client is a leading platform that provides virtual care and telehealth experiences for care seekers in the field of reproductive healthcare across multiple states. As a top-ranked birth control app, it delivers convenient, safe, and private care through web and mobile applications. The services include birth control, UTI treatment, emergency contraception, and telemedicine abortion, with a strong focus on quality and patient satisfaction.
Your day-to-day activities:


End-to-end responsibility for projects of increasing complexity, including technical design, tests, and delivery.
Identify and proactively tackle technical debt before it requires significant up-front work to resolve.
Scope and stage work into well-defined milestones to avoid a monolithic deliverable.
Mentor more junior engineers via pairing, design review, and code review, making others better.
Provide timely, helpful feedback to peers and managers, reviewing others' work and suggesting alternative approaches.
Understand and make well-reasoned design decisions and tradeoffs in your area, challenging business context and making a persuasive case for an approach.
Own the technical outcome for projects and own the technical testing and performance plan for your projects.
Take initiative to identify and solve important problems and coordinating with others on cross-cutting technical issues.
Communicate technical decisions through design docs, tech talks, and documentation
Work with Product Manager in planning and coordinating the development and rollout for significant projects, potentially challenging business context and partnering with product to drive requirements.
Understand how your work fits into the larger project and identify problems with requirements, communicating these issues early
Persistent in the face of roadblocks; dispatch them efficiently, pulling in others as necessary
Take the initiative to fix issues before being assigned them, seeking empirical evidence through proof of concepts, tests and external research.
Work closely with cross-functional teams to ensure projects being delivered meet business objectives, communicating effectively cross functions
Actively solicit and graciously accept feedback from others, seeking ways to improve


You’re a perfect match if you have:


5+ Years experience building Fullstack applications with React and Node.js
Experience building a php application with Laraval
Experience with Unit testing using frameworks such as jest or mocha
Experience working with Agile development practices.
Capable of delivering medium-to-complex features or projects; including technical design, tests, and delivery
Understand factors that contribute to application performance and capable of assessing the cost-benefit of addressing site performance issues.
Learn quickly and make steady progress without the need for constant significant feedback from more senior engineers.
Understanding of industry trends
Capable of debugging and resolving complex issues quickly, including failures in distributed systems.
Ability to understand the tradeoffs between technical, analytical and product needs.

About Newfire Global Partners
Newfire Global Partners is a leading custom software development company that specializes in working on complex problems. With a strong focus on meeting the unique needs of each organization, they connect clients with local leaders and trusted remote teams to deliver exceptional IT services and software development solutions. Their range of expertise spans various domains, including Data & Analytics, AI/ML, Software Engineering, Product Management, and Marketing. By leveraging recent innovations in artificial intelligence, Newfire Global Partners ensures that their clients can transform the new normal into a competitive advantage. Through their advisory services, experienced leaders guide businesses through transformations and de-risk operations throughout the entire lifecycle. They also offer talent augmentation, bringing together highly skilled professionals from multi-disciplinary teams to support software, product, and marketing needs. Newfire Global Partners is committed to providing excellent service and driving client growth. Their team of industry experts works closely with organizations, whether it's driving transformation, building from scratch, or getting things done efficiently. Trusted by VC & PE firms, established businesses, and startups, Newfire Global Partners is proud to be a reliable partner in various industries, including healthcare, enterprise, and fintech. Partner with Newfire Global Partners today and unlock the expertise that accelerates success.",,https://www.simplyhired.com/job/JrVgfUR0T1GJgVnsSDvC_HtjqiJpDSAJUVpUchlM_2X5ImmBQ6IzDQ
Full Stack Developer,CRG Solutions,,"Sacramento, CA",,Estimated: $138K - $165K a year,8 hours ago,"['CI/CD', 'Azure', 'Computer Science', 'Software Engineering', 'Software troubleshooting', 'PCI', 'React', 'Kubernetes', 'Kanban', 'Relational databases', '5 years', 'DevOps', 'Data structures', 'C#', 'Microsoft SQL Server', 'Git', 'Google Cloud Platform', 'MongoDB', 'SOX', '.NET', 'Algorithms', 'Microservices', 'AWS', 'Docker', ""Bachelor's degree"", 'JavaScript', 'Distributed systems', 'Scrum', 'APIs', 'Agile', 'Front-end development', 'Senior level', 'Debugging', 'AWS Certified Developer – Associate', 'Design patterns']","The role of a Software Engineer Level 2 involves extensive technical expertise to join our dynamic development team. This role involves designing, developing, and maintaining software solutions in a hybrid development environment, encompassing on-premises, cloud, and hybrid infrastructures. The ideal candidate should have strong experience with C#, .NET, and React, along with a deep understanding of modern development practices across various environments.

ESSENTIAL RESPONSIBILITIES
Design, develop, and maintain software solutions using C#, .NET, and React in on-premise, cloud, and hybrid environments.Collaborate with product managers, architects, and other developers to gather and translate business requirements into technical specifications.Contribute to the architectural design of systems, ensuring scalability, performance, security, and maintainability.Build APIs, microservices, and front-end components for web applications, ensuring seamless integration between front-end and back-end services.Work with cloud services and platforms (e.g., Azure, AWS) to design and deploy solutions in hybrid and cloud-native environments.Implement best practices for DevOps and CI/CD pipelines, ensuring smooth and automated deployments across environments.Troubleshoot and resolve issues related to application performance, security, and availability across different environments.Participate in code reviews, providing constructive feedback to peers and ensuring high code quality and adherence to coding standards.Stay up to date with new technology trends and frameworks, particularly in cloud and hybrid development, and incorporate them into development practices.
ON PREMISES, HYBRID, AND CLOUD ENVIRONMENTSWork with business applications across various environments, including on-premises, hybrid, and cloud systems.Work with the infrastructure and cloud teams to ensure that application environments are stable, secure, and meet business performance expectations.Support the transition of applications from on-premises environments to cloud or hybrid architectures, working closely with senior IT leadership on cloud migration strategies.Ensure proper governance and performance monitoring for applications in all environments, proactively identifying areas for optimization.
RISK AND COMPLIANCEEnsure that all business applications comply with industry regulations and internal security standards, including SOX, PCI-DSS, and other financial sector regulations.Work with the cybersecurity team to ensure applications are secured against potential threats and vulnerabilities.Develop and implement procedures for regular audits, risk assessments, and disaster recovery plans for critical applications.Ensure that QA processes adhere to relevant industry standards and regulatory requirements (e.g., ISO, GDPR, HIPAA).Develop and maintain test documentation, including test plans, test cases, test scripts, and test data management.Implement processes to ensure traceability of test cases to requirements and automated defect tracking/reporting.
REQUIRED QUALIFICATIONSEDUCATION: Bachelor's degree in Computer Science, Software Engineering, or related discipline required.CERTIFICATIONS: Relevant technologies such as Microsoft Certified: Azure Developer Associate or AWS Certified Developer highly preferred.
EXPERIENCEA minimum of 5 years of proven experience as a Software Engineer with strong hands-on skills in C# and .NET required.Experience with React or other modern JavaScript frameworks for front-end development required.Solid experience with cloud platforms such as Microsoft Azure, AWS, or Google Cloud required.Experience with DevOps practices, including CI/CD pipelines, containerization (e.g., Docker, Kubernetes), and automated deployments required.Experience with version control systems (e.g., Git) and agile development methodologies (e.g., Scrum, Kanban) required.Experience with hybrid cloud strategies and solutions preferred.Experience working in multi-disciplinary teams and collaborating with architects, business analysts, and stakeholders preferred.
TECHNICAL SKILLSProficiency in building and maintaining systems in on-premises, hybrid, and cloud environments required.Familiarity with microservices architecture and building scalable APIs and distributed systems required.Strong knowledge of software design patterns, algorithms, and data structures required.Excellent problem-solving skills, with the ability to troubleshoot and debug complex technical issues, required.Familiarity with Azure DevOps and other DevOps tools for CI/CD and automation preferred.Knowledge of relational and non-relational databases (e.g., SQL Server, MongoDB) preferred.",,https://www.simplyhired.com/job/kyC_-uvWhSxVwLJqL_iJ54GCvfYh2Jd4DF9m6s0rllcKFCCGjRP-3Q
Full Stack Developer (Python/Golang + React),SecPod Careers,,"Poland, ME",Full-time,Estimated: $75.2K - $106K a year,5 days ago,"['Cloud infrastructure', 'Go', 'CSS', 'React', 'DevOps', 'NoSQL', 'Google Cloud Platform', 'MongoDB', 'Mid-level', 'Databases', 'AWS', 'Docker', 'JavaScript', 'Terraform', 'REST', 'APIs', 'Front-end development', 'Flask', 'Cybersecurity', 'Python', 'HTML']","Full Stack Developer (Python/Golang + React)
Location: Poland | Hybrid
Experience: 2–8 years (preferably)
Employment Type: Full-Time
About Us
We are a fast-growing cybersecurity company building intelligent, scalable product to prevent and safeguard against modern cloud-based threats. Our engineering team is passionate about solving complex problems and delivering high-impact solutions to global customers. If you are curious, proactive, and excited to work on a cutting-edge product, this is the place for you.
Role Overview
We are looking for enthusiastic Full Stack Developers, whether you are just starting out or already experienced, who thrive in a fast-paced environment and want to make a real difference. You will be a part of a collaborative team, geographically dispersed, but focused on developing high-performance applications using modern technologies across the stack.
What You Will Do
Design, develop, test, and maintain scalable web applications and APIs
Work across front-end and back-end technologies including React, Python, and Golang
Build robust RESTful services using FastAPI or Flask
Integrate and manage data storage solutions like MongoDB
Participate in problem solving, code reviews, brainstorming sessions, and continuous learning
Collaborate with DevOps and security teams to ensure smooth deployment and high reliability
What We Are Looking For
Strong problem-solving skills and an eagerness to learn
Proficiency in Python and/or Golang and abilities to build custom libraries
Experience or interest in web frameworks like FastAPI, Gin or Flask
Familiarity with modern front-end development using React.js and also be able to work with HTML, CSS, Javascript
Understanding of NoSQL databases, preferably MongoDB
Good understanding of API development, security, and data modelling
(For experienced candidates) Ability to design scalable architecture and mentor juniors
(For freshers) Strong foundational understanding of programming concepts
Exposure to cloud platforms (AWS, Azure, GCP)
Interest in cybersecurity and cloud-native applications
Knowledge of various aspects of cloud infrastructure, including VMs, docker, containers, APIs, and cloud services
Knowledge of Terraform, Cloud Formation and other IaC tools
Why Join Us?
Get hands-on experience in building systems to solve real-world problems
Be mentored and grow rapidly
Enjoy flexible work culture, regular knowledge sessions, and a flat hierarchy
Work on a high-ownership role with impact-driven deliverables",,https://www.simplyhired.com/job/wzejYUCjDaELK-8DOeHj_abnKyz8TCrXzFgH-Av6D1JiGow6tG6XGg
Full Stack Developer,Cinnovx,,Remote,Full-time,"$65,000 - $73,000 a year",17 hours ago,"['Azure', 'Management', 'Computer Science', 'React', 'RESTful API', 'Full-stack development', 'Software deployment', 'C#', 'Git', 'Mid-level', '.NET', 'Java', ""Master's degree"", 'Database management', ""Bachelor's degree"", 'JavaScript', 'Computer Engineering', '1 year', 'Python', 'HTML']","Full-stack developer needed for a large public sector application development effort. Cinnovx provides standard benefits such as health, dental, and vision insurance, and 401(k).
Description
Duties and Responsibilities
Design, develop, and maintain all aspects of the full-stack .NET and React application
Write optimized, secure and scalable code that follows best practices and peer reviews
Work closely with stakeholders in a cross-functional team within an Agile environment
Minimum Qualifications
Bachelor’s or Master’s degree in Computer Science, Computer Engineering, or a related field
1+ years of experience in full-stack development with modern front-end frameworks and .NET technologies
Proficiency in at least two programming language or technology including, but not limited, to C#, Java, .NET, python, Javascript, HTML
Familiarity with RESTful APIs, database management, and modern software design principles
Familiarity with Azure, including experience with cloud-based application deployment
Experience with version control systems (e.g. Git) for collaboration and code management
Strong communications skills and interpersonal skills to interface with stakeholders
Proactive and self-motivated
This position is open only to individuals who are authorized to work in the United States. Proof of valid work authorization will be required prior to employment. This is a remote position; however, the employee must be available to work standard business hours in the Pacific Time Zone (PT).
Employment Fraud Warning
Cinnovx will never ask job applicants or employees to pay any fees, costs, or expenses as part of our recruitment, hiring, or employment process. We do not charge for job applications or interviews, background checks or drug screenings, training materials or equipment, or any other recruitment-related services. All official job communications will come from verified Cinnovx email addresses ending in @cinnovx.com. Our recruiters will never request payment or personal financial information during any stage of the hiring process. If you encounter suspected fraud, please report suspicious recruitment activities claiming to represent Cinnovx to support@cinnovx.com and to local authorities. Verify any job opportunity by contacting us directly through official channels listed on this website. Remember: Legitimate employers pay you, not the other way around.

Salary
$65,000 - $73,000 per year",,https://www.simplyhired.com/job/vqbxJjWqGsxwv7pqK8uFUyVjvo8Cd5AC78HAk5yKCJlDJFX4KV5_wA
Full Stack Developer,Saporis Engineering LLC,,"New York, NY",Full-time | Contract,$50 - $60 an hour,5 days ago,"['7 years', 'Azure', '6 years', 'Oracle', 'Computer Science', 'React', 'Full-stack development', '5 years', 'DevOps', 'System architecture', '11+ years', 'Mid-level', '.NET', '3 years', 'Application development', '8 years', 'SQL', 'C++', 'C', ""Bachelor's degree"", 'JavaScript', 'Software development', 'Agile', 'Open source contribution', '9 years', '4 years', 'Communication skills', 'Python', 'Information Technology', '10 years']","HIRING ASAP (no H1Bs sorry)!We are seeking a highly skilled and experienced .NET Full Stack Developer Consultant to join our team. This is a 1099 contract position without benefits. The contract will be for 4-6 months with opportunity to extend for 6 more months. The ideal candidate will be very strong in python and React with a strong focus on software development and web application development. This role will be responsible for designing, building, and maintaining our company's web and internal applications, ensuring they are efficient, scalable, and meet the highest standards of quality. You must have architect experience.**Duties**- Design and develop high-quality, scalable, and maintainable web and in house applications.- Collaborate with cross-functional teams to gather requirements and develop technical solutions.- Develop and implement new features and functionality, as well as improve existing ones.- Write clean, readable, and well-documented code, following best practices and adhering to our coding standards.- Troubleshoot and resolve technical issues and bugs in a timely and efficient manner.- Work closely with our DevOps team to ensure seamless deployment and maintenance of applications.- Implement and maintain database structures using SQL and Oracle.- Use Agile methodologies to plan, track, and deliver projects on time.- Stay up-to-date with the latest technologies and trends in software development, and apply this knowledge to improve our applications and processes.- Participate in code reviews and contribute to the improvement of the codebase.- Work in an Azure-based environment, utilizing cloud technologies to develop scalable and secure applications.**Experience**- A bachelor's degree in Computer Science, Information Technology, or a related field.- At least 3 years of experience in full-stack development, with a focus on application development.- Proficiency in C, Python, JavaScript, React js, and SQL.- Strong understanding of Agile methodologies and software development principles.- Experience with Azure, Oracle Cloud is plus.- Experience with C++ and software development.- Strong problem-solving skills and the ability to work independently.- Excellent communication and teamwork skills.- Experience with code reviews and contributing to open-source projects.If you are passionate about software development and are looking for a challenging and rewarding role, we encourage you to apply for this position.Job Types: Full-time, ContractPay: $50.00 - $60.00 per hourCompensation Package:1099 contractHourly paySchedule:Monday to FridayWork Location: Hybrid remote in New York, NY 10271",,https://www.simplyhired.com/job/6C3UhPhwcsXWvEEHq6IhAbXY6I8cjnQ0v8vc9Gc8tJK7lh2lCiSDUg
